local_authority,code,year,expenditure_per_person
Aberdeen City,S12000033,2011,22403
Aberdeenshire,S12000034,2011,22922
Angus,S12000041,2011,20694
Argyll & Bute,S12000035,2011,23071
Clackmannanshire,S12000005,2011,20071
Dumfries & Galloway,S12000006,2011,8871
Dundee City,S12000042,2011,19761
East Ayrshire,S12000008,2011,25202
East Dunbartonshire,S12000045,2011,9729
East Lothian,S12000010,2011,21307
East Renfrewshire,S12000011,2011,20157
"Edinburgh, City of",S12000036,2011,18355
Eilean Siar,S12000013,2011,34600
Falkirk,S12000014,2011,18249
Fife,S12000015,2011,18578
Glasgow City,S12000046,2011,21057
Highland,S12000017,2011,20657
Inverclyde,S12000018,2011,18775
Midlothian,S12000019,2011,19874
Moray,S12000020,2011,14388
North Ayrshire,S12000021,2011,18183
North Lanarkshire,S12000044,2011,26487
Orkney Islands,S12000023,2011,44330
Perth & Kinross,S12000024,2011,20543
Renfrewshire,S12000038,2011,17215
Scottish Borders,S12000026,2011,16426
Shetland Islands,S12000027,2011,79170
South Ayrshire,S12000028,2011,18761
South Lanarkshire,S12000029,2011,21529
Stirling,S12000030,2011,20874
West Dunbartonshire,S12000039,2011,28818
West Lothian,S12000040,2011,20646
Aberdeen City,S12000033,2012,23535
Aberdeenshire,S12000034,2012,21488
Angus,S12000041,2012,21234
Argyll & Bute,S12000035,2012,25439
Clackmannanshire,S12000005,2012,21227
Dumfries & Galloway,S12000006,2012,11077
Dundee City,S12000042,2012,21769
East Ayrshire,S12000008,2012,19956
East Dunbartonshire,S12000045,2012,9967
East Lothian,S12000010,2012,28417
East Renfrewshire,S12000011,2012,20746
"Edinburgh, City of",S12000036,2012,18896
Eilean Siar,S12000013,2012,36717
Falkirk,S12000014,2012,18175
Fife,S12000015,2012,20978
Glasgow City,S12000046,2012,20865
Highland,S12000017,2012,19952
Inverclyde,S12000018,2012,19684
Midlothian,S12000019,2012,25487
Moray,S12000020,2012,15954
North Ayrshire,S12000021,2012,19196
North Lanarkshire,S12000044,2012,23546
Orkney Islands,S12000023,2012,49330
Perth & Kinross,S12000024,2012,18232
Renfrewshire,S12000038,2012,18695
Scottish Borders,S12000026,2012,20589
Shetland Islands,S12000027,2012,78533
South Ayrshire,S12000028,2012,20454
South Lanarkshire,S12000029,2012,21946
Stirling,S12000030,2012,22187
West Dunbartonshire,S12000039,2012,22966
West Lothian,S12000040,2012,18977
Aberdeen City,S12000033,2013,20810
Aberdeenshire,S12000034,2013,20458
Angus,S12000041,2013,21685
Argyll & Bute,S12000035,2013,23559
Clackmannanshire,S12000005,2013,24543
Dumfries & Galloway,S12000006,2013,12620
Dundee City,S12000042,2013,20542
East Ayrshire,S12000008,2013,17140
East Dunbartonshire,S12000045,2013,10562
East Lothian,S12000010,2013,21963
East Renfrewshire,S12000011,2013,20682
"Edinburgh, City of",S12000036,2013,21508
Eilean Siar,S12000013,2013,36056
Falkirk,S12000014,2013,16384
Fife,S12000015,2013,21192
Glasgow City,S12000046,2013,18812
Highland,S12000017,2013,24117
Inverclyde,S12000018,2013,19452
Midlothian,S12000019,2013,24705
Moray,S12000020,2013,15363
North Ayrshire,S12000021,2013,17946
North Lanarkshire,S12000044,2013,22851
Orkney Islands,S12000023,2013,43350
Perth & Kinross,S12000024,2013,17638
Renfrewshire,S12000038,2013,20813
Scottish Borders,S12000026,2013,19752
Shetland Islands,S12000027,2013,57822
South Ayrshire,S12000028,2013,20487
South Lanarkshire,S12000029,2013,22024
Stirling,S12000030,2013,22643
West Dunbartonshire,S12000039,2013,22343
West Lothian,S12000040,2013,20043
Aberdeen City,S12000033,2014,20479
Aberdeenshire,S12000034,2014,19762
Angus,S12000041,2014,22127
Argyll & Bute,S12000035,2014,25065
Clackmannanshire,S12000005,2014,24475
Dumfries & Galloway,S12000006,2014,12499
Dundee City,S12000042,2014,21330
East Ayrshire,S12000008,2014,19349
East Dunbartonshire,S12000045,2014,12138
East Lothian,S12000010,2014,22993
East Renfrewshire,S12000011,2014,20330
"Edinburgh, City of",S12000036,2014,21559
Eilean Siar,S12000013,2014,35411
Falkirk,S12000014,2014,17573
Fife,S12000015,2014,21314
Glasgow City,S12000046,2014,21108
Highland,S12000017,2014,22041
Inverclyde,S12000018,2014,17612
Midlothian,S12000019,2014,21256
Moray,S12000020,2014,16269
North Ayrshire,S12000021,2014,18335
North Lanarkshire,S12000044,2014,23688
Orkney Islands,S12000023,2014,47240
Perth & Kinross,S12000024,2014,16587
Renfrewshire,S12000038,2014,21742
Scottish Borders,S12000026,2014,21765
Shetland Islands,S12000027,2014,49030
South Ayrshire,S12000028,2014,19433
South Lanarkshire,S12000029,2014,22551
Stirling,S12000030,2014,22027
West Dunbartonshire,S12000039,2014,24431
West Lothian,S12000040,2014,21360
Aberdeen City,S12000033,2015,19966
Aberdeenshire,S12000034,2015,19596
Angus,S12000041,2015,24065
Argyll & Bute,S12000035,2015,25833
Clackmannanshire,S12000005,2015,17782
Dumfries & Galloway,S12000006,2015,9987
Dundee City,S12000042,2015,22397
East Ayrshire,S12000008,2015,18409
East Dunbartonshire,S12000045,2015,14392
East Lothian,S12000010,2015,22586
East Renfrewshire,S12000011,2015,17753
"Edinburgh, City of",S12000036,2015,20486
Eilean Siar,S12000013,2015,35479
